Thread, Run, Test, Start time (ms since Epoch), Test time, Errors, HTTP response code, HTTP response length, HTTP response errors, Time to resolve host, Time to establish connection, Time to first byte
0, 0, 101, 1247359467208, 163, 0, 200, 178, 0, 63, 63, 73
0, 0, 100, 1247359467180, 192, 0, 0, 0, 0, 0, 0, 0
0, 1, 101, 1247359467376, 5, 0, 200, 178, 0, 0, 2, 3
0, 1, 100, 1247359467375, 6, 0, 0, 0, 0, 0, 0, 0
1, 0, 101, 1247359467208, 159, 0, 200, 178, 0, 63, 64, 71
1, 0, 100, 1247359467180, 199, 0, 0, 0, 0, 0, 0, 0
2, 0, 101, 1247359467208, 174, 0, 200, 178, 0, 69, 92, 93
2, 0, 100, 1247359467180, 212, 0, 0, 0, 0, 0, 0, 0
1, 1, 101, 1247359467390, 16, 0, 200, 178, 0, 0, 1, 14
1, 1, 100, 1247359467390, 16, 0, 0, 0, 0, 0, 0, 0
3, 0, 101, 1247359467208, 177, 0, 200, 178, 0, 18, 19, 92
3, 0, 100, 1247359467180, 227, 0, 0, 0, 0, 0, 0, 0
4, 0, 101, 1247359467220, 157, 0, 200, 178, 0, 137, 138, 140
4, 0, 100, 1247359467208, 201, 0, 0, 0, 0, 0, 0, 0
2, 1, 101, 1247359467392, 19, 0, 200, 178, 0, 15, 16, 17
2, 1, 100, 1247359467392, 19, 0, 0, 0, 0, 0, 0, 0
0, 2, 101, 1247359467404, 10, 0, 200, 178, 0, 1, 1, 2
0, 2, 100, 1247359467390, 24, 0, 0, 0, 0, 0, 0, 0
2, 2, 101, 1247359467411, 3, 0, 200, 178, 0, 1, 1, 3
2, 2, 100, 1247359467411, 3, 0, 0, 0, 0, 0, 0, 0
1, 2, 101, 1247359467407, 10, 0, 200, 178, 0, 1, 2, 3
1, 2, 100, 1247359467407, 10, 0, 0, 0, 0, 0, 0, 0
0, 3, 101, 1247359467415, 5, 0, 200, 178, 0, 0, 3, 4
0, 3, 100, 1247359467415, 5, 0, 0, 0, 0, 0, 0, 0
2, 3, 101, 1247359467415, 6, 0, 200, 178, 0, 1, 5, 6
2, 3, 100, 1247359467415, 7, 0, 0, 0, 0, 0, 0, 0
1, 3, 101, 1247359467418, 5, 0, 200, 178, 0, 2, 2, 5
1, 3, 100, 1247359467417, 6, 0, 0, 0, 0, 0, 0, 0
2, 4, 101, 1247359467422, 4, 0, 200, 178, 0, 0, 2, 3
2, 4, 100, 1247359467422, 4, 0, 0, 0, 0, 0, 0, 0
0, 4, 101, 1247359467421, 5, 0, 200, 178, 0, 0, 2, 3
0, 4, 100, 1247359467421, 5, 0, 0, 0, 0, 0, 0, 0
1, 4, 101, 1247359467424, 4, 0, 200, 178, 0, 0, 2, 3
1, 4, 100, 1247359467424, 4, 0, 0, 0, 0, 0, 0, 0
2, 5, 101, 1247359467426, 4, 0, 200, 178, 0, 0, 1, 3
2, 5, 100, 1247359467426, 4, 0, 0, 0, 0, 0, 0, 0
2, 6, 101, 1247359467431, 4, 0, 200, 178, 0, 0, 2, 3
2, 6, 100, 1247359467431, 4, 0, 0, 0, 0, 0, 0, 0
0, 5, 101, 1247359467427, 6, 0, 200, 178, 0, 1, 3, 5
0, 5, 100, 1247359467427, 6, 0, 0, 0, 0, 0, 0, 0
1, 5, 101, 1247359467428, 6, 0, 200, 178, 0, 0, 4, 5
1, 5, 100, 1247359467428, 6, 0, 0, 0, 0, 0, 0, 0
4, 1, 101, 1247359467409, 24, 0, 200, 178, 0, 4, 6, 16
4, 1, 100, 1247359467409, 24, 0, 0, 0, 0, 0, 0, 0
3, 1, 101, 1247359467410, 23, 0, 200, 178, 0, 9, 19, 21
3, 1, 100, 1247359467410, 23, 0, 0, 0, 0, 0, 0, 0
1, 6, 101, 1247359467436, 2, 0, 200, 178, 0, 0, 1, 2
1, 6, 100, 1247359467436, 2, 0, 0, 0, 0, 0, 0, 0
2, 7, 101, 1247359467436, 3, 0, 200, 178, 0, 0, 1, 2
2, 7, 100, 1247359467436, 3, 0, 0, 0, 0, 0, 0, 0
0, 6, 101, 1247359467436, 4, 0, 200, 178, 0, 0, 1, 2
0, 6, 100, 1247359467436, 4, 0, 0, 0, 0, 0, 0, 0
1, 7, 101, 1247359467439, 9, 0, 200, 178, 0, 0, 1, 8
1, 7, 100, 1247359467439, 9, 0, 0, 0, 0, 0, 0, 0
2, 8, 101, 1247359467440, 9, 0, 200, 178, 0, 0, 1, 8
2, 8, 100, 1247359467440, 9, 0, 0, 0, 0, 0, 0, 0
0, 7, 101, 1247359467441, 10, 0, 200, 178, 0, 1, 1, 10
0, 7, 100, 1247359467441, 10, 0, 0, 0, 0, 0, 0, 0
1, 8, 101, 1247359467448, 3, 0, 200, 178, 0, 1, 2, 3
1, 8, 100, 1247359467448, 3, 0, 0, 0, 0, 0, 0, 0
3, 2, 101, 1247359467450, 4, 0, 200, 178, 0, 0, 1, 3
3, 2, 100, 1247359467450, 4, 0, 0, 0, 0, 0, 0, 0
2, 9, 101, 1247359467450, 4, 0, 200, 178, 0, 0, 2, 4
2, 9, 100, 1247359467450, 4, 0, 0, 0, 0, 0, 0, 0
0, 8, 101, 1247359467452, 4, 0, 200, 178, 0, 0, 1, 4
0, 8, 100, 1247359467452, 4, 0, 0, 0, 0, 0, 0, 0
2, 10, 101, 1247359467455, 3, 0, 200, 178, 0, 0, 2, 3
2, 10, 100, 1247359467455, 3, 0, 0, 0, 0, 0, 0, 0
1, 9, 101, 1247359467452, 7, 0, 200, 178, 0, 0, 5, 6
1, 9, 100, 1247359467452, 7, 0, 0, 0, 0, 0, 0, 0
0, 9, 101, 1247359467457, 4, 0, 200, 178, 0, 0, 2, 3
0, 9, 100, 1247359467457, 4, 0, 0, 0, 0, 0, 0, 0
2, 11, 101, 1247359467459, 13, 0, 200, 178, 0, 1, 2, 13
2, 11, 100, 1247359467459, 13, 0, 0, 0, 0, 0, 0, 0
1, 10, 101, 1247359467460, 14, 0, 200, 178, 0, 0, 11, 12
1, 10, 100, 1247359467460, 14, 0, 0, 0, 0, 0, 0, 0
3, 3, 101, 1247359467476, 6, 0, 200, 178, 0, 1, 1, 5
3, 3, 100, 1247359467471, 11, 0, 0, 0, 0, 0, 0, 0
3, 4, 101, 1247359467482, 4, 0, 200, 178, 0, 1, 2, 3
1, 11, 101, 1247359467475, 11, 0, 200, 178, 0, 0, 9, 10
4, 2, 101, 1247359467449, 38, 0, 200, 178, 0, 1, 9, 12
2, 12, 101, 1247359467476, 12, 0, 200, 178, 0, 0, 1, 5
0, 10, 101, 1247359467472, 20, 0, 200, 178, 0, 0, 19, 20
3, 4, 100, 1247359467482, 11, 0, 0, 0, 0, 0, 0, 0
0, 10, 100, 1247359467461, 31, 0, 0, 0, 0, 0, 0, 0
2, 12, 100, 1247359467475, 19, 0, 0, 0, 0, 0, 0, 0
4, 2, 100, 1247359467449, 44, 0, 0, 0, 0, 0, 0, 0
1, 11, 100, 1247359467475, 19, 0, 0, 0, 0, 0, 0, 0
2, 13, 101, 1247359467496, 3, 0, 200, 178, 0, 0, 2, 3
2, 13, 100, 1247359467496, 4, 0, 0, 0, 0, 0, 0, 0
4, 3, 101, 1247359467495, 4, 0, 200, 178, 0, 1, 2, 4
4, 3, 100, 1247359467495, 4, 0, 0, 0, 0, 0, 0, 0
0, 11, 101, 1247359467497, 3, 0, 200, 178, 0, 0, 2, 3
0, 11, 100, 1247359467496, 4, 0, 0, 0, 0, 0, 0, 0
1, 12, 101, 1247359467494, 7, 0, 200, 178, 0, 1, 5, 7
1, 12, 100, 1247359467494, 7, 0, 0, 0, 0, 0, 0, 0
4, 4, 101, 1247359467500, 5, 0, 200, 178, 0, 1, 2, 4
4, 4, 100, 1247359467500, 5, 0, 0, 0, 0, 0, 0, 0
1, 13, 101, 1247359467502, 7, 0, 200, 178, 0, 0, 2, 7
1, 13, 100, 1247359467502, 7, 0, 0, 0, 0, 0, 0, 0
1, 14, 101, 1247359467510, 3, 0, 200, 178, 0, 0, 2, 3
1, 14, 100, 1247359467510, 4, 0, 0, 0, 0, 0, 0, 0
4, 5, 101, 1247359467511, 9, 0, 200, 178, 0, 0, 6, 8
4, 5, 100, 1247359467511, 10, 0, 0, 0, 0, 0, 0, 0
1, 15, 101, 1247359467514, 7, 0, 200, 178, 0, 1, 2, 7
1, 15, 100, 1247359467514, 7, 0, 0, 0, 0, 0, 0, 0
3, 5, 101, 1247359467501, 27, 0, 200, 178, 0, 0, 1, 16
3, 5, 100, 1247359467501, 27, 0, 0, 0, 0, 0, 0, 0
0, 12, 101, 1247359467502, 27, 0, 200, 178, 0, 1, 5, 6
0, 12, 100, 1247359467501, 28, 0, 0, 0, 0, 0, 0, 0
4, 6, 101, 1247359467525, 4, 0, 200, 178, 0, 1, 1, 4
4, 6, 100, 1247359467524, 5, 0, 0, 0, 0, 0, 0, 0
2, 14, 101, 1247359467501, 29, 0, 200, 178, 0, 0, 15, 27
2, 14, 100, 1247359467501, 29, 0, 0, 0, 0, 0, 0, 0
1, 16, 101, 1247359467524, 7, 0, 200, 178, 0, 0, 1, 5
1, 16, 100, 1247359467524, 7, 0, 0, 0, 0, 0, 0, 0
2, 15, 101, 1247359467532, 3, 0, 200, 178, 0, 0, 1, 2
2, 15, 100, 1247359467531, 4, 0, 0, 0, 0, 0, 0, 0
3, 6, 101, 1247359467531, 5, 0, 200, 178, 0, 0, 1, 4
3, 6, 100, 1247359467531, 5, 0, 0, 0, 0, 0, 0, 0
0, 13, 101, 1247359467533, 4, 0, 200, 178, 0, 0, 2, 3
0, 13, 100, 1247359467531, 6, 0, 0, 0, 0, 0, 0, 0
0, 14, 101, 1247359467538, 5, 0, 200, 178, 0, 0, 2, 3
0, 14, 100, 1247359467538, 5, 0, 0, 0, 0, 0, 0, 0
3, 7, 101, 1247359467539, 4, 0, 200, 178, 0, 0, 1, 3
3, 7, 100, 1247359467538, 5, 0, 0, 0, 0, 0, 0, 0
2, 16, 101, 1247359467540, 4, 0, 200, 178, 0, 1, 2, 4
2, 16, 100, 1247359467539, 6, 0, 0, 0, 0, 0, 0, 0
0, 15, 101, 1247359467548, 3, 0, 200, 178, 0, 0, 1, 3
0, 15, 100, 1247359467547, 5, 0, 0, 0, 0, 0, 0, 0
3, 8, 101, 1247359467549, 5, 0, 200, 178, 0, 0, 1, 3
3, 8, 100, 1247359467548, 6, 0, 0, 0, 0, 0, 0, 0
2, 17, 101, 1247359467548, 7, 0, 200, 178, 0, 0, 3, 6
2, 17, 100, 1247359467548, 7, 0, 0, 0, 0, 0, 0, 0
4, 7, 101, 1247359467550, 14, 0, 200, 178, 0, 0, 4, 13
4, 7, 100, 1247359467549, 16, 0, 0, 0, 0, 0, 0, 0
1, 17, 101, 1247359467552, 14, 0, 200, 178, 0, 0, 2, 13
1, 17, 100, 1247359467552, 14, 0, 0, 0, 0, 0, 0, 0
2, 18, 101, 1247359467559, 54, 0, 200, 178, 0, 0, 2, 54
2, 18, 100, 1247359467559, 54, 0, 0, 0, 0, 0, 0, 0
0, 16, 101, 1247359467557, 57, 0, 200, 178, 0, 9, 10, 56
0, 16, 100, 1247359467556, 58, 0, 0, 0, 0, 0, 0, 0
4, 8, 101, 1247359467568, 49, 0, 200, 178, 0, 0, 47, 49
4, 8, 100, 1247359467568, 50, 0, 0, 0, 0, 0, 0, 0
1, 18, 101, 1247359467615, 3, 0, 200, 178, 0, 0, 2, 3
1, 18, 100, 1247359467614, 4, 0, 0, 0, 0, 0, 0, 0
0, 17, 101, 1247359467616, 8, 0, 200, 178, 0, 0, 1, 7
0, 17, 100, 1247359467616, 8, 0, 0, 0, 0, 0, 0, 0
4, 9, 101, 1247359467619, 5, 0, 200, 178, 0, 0, 2, 3
4, 9, 100, 1247359467618, 6, 0, 0, 0, 0, 0, 0, 0
1, 19, 101, 1247359467619, 6, 0, 200, 178, 0, 1, 4, 5
1, 19, 100, 1247359467619, 6, 0, 0, 0, 0, 0, 0, 0
2, 19, 101, 1247359467617, 9, 0, 200, 178, 0, 1, 2, 9
2, 19, 100, 1247359467617, 9, 0, 0, 0, 0, 0, 0, 0
4, 10, 101, 1247359467625, 4, 0, 200, 178, 0, 0, 1, 3
4, 10, 100, 1247359467624, 5, 0, 0, 0, 0, 0, 0, 0
1, 20, 101, 1247359467625, 4, 0, 200, 178, 0, 1, 2, 3
1, 20, 100, 1247359467625, 4, 0, 0, 0, 0, 0, 0, 0
3, 9, 101, 1247359467567, 83, 0, 200, 178, 0, 0, 1, 83
