Thread, Run, Test, Start time (ms since Epoch), Test time, Errors, HTTP response code, HTTP response length, HTTP response errors, Time to resolve host, Time to establish connection, Time to first byte
2, 0, 101, 1247359468251, 125, 0, 200, 178, 0, 31, 32, 121
0, 0, 101, 1247359468251, 127, 0, 200, 178, 0, 31, 33, 124
3, 0, 101, 1247359468265, 129, 0, 200, 178, 0, 19, 29, 113
4, 0, 101, 1247359468252, 142, 0, 200, 178, 0, 32, 43, 73
1, 0, 101, 1247359468226, 147, 0, 200, 178, 0, 37, 42, 91
1, 0, 100, 1247359468220, 187, 0, 0, 0, 0, 0, 0, 0
2, 0, 100, 1247359468245, 164, 0, 0, 0, 0, 0, 0, 0
0, 0, 100, 1247359468251, 158, 0, 0, 0, 0, 0, 0, 0
3, 0, 100, 1247359468265, 144, 0, 0, 0, 0, 0, 0, 0
4, 0, 100, 1247359468251, 158, 0, 0, 0, 0, 0, 0, 0
0, 1, 101, 1247359468410, 28, 0, 200, 178, 0, 0, 1, 2
0, 1, 100, 1247359468410, 28, 0, 0, 0, 0, 0, 0, 0
2, 1, 101, 1247359468411, 28, 0, 200, 178, 0, 0, 1, 28
2, 1, 100, 1247359468411, 28, 0, 0, 0, 0, 0, 0, 0
4, 1, 101, 1247359468412, 36, 0, 200, 178, 0, 34, 35, 36
4, 1, 100, 1247359468411, 38, 0, 0, 0, 0, 0, 0, 0
3, 1, 101, 1247359468412, 41, 0, 200, 178, 0, 0, 1, 2
2, 2, 101, 1247359468440, 13, 0, 200, 178, 0, 0, 1, 2
3, 1, 100, 1247359468412, 41, 0, 0, 0, 0, 0, 0, 0
2, 2, 100, 1247359468440, 13, 0, 0, 0, 0, 0, 0, 0
0, 2, 101, 1247359468440, 14, 0, 200, 178, 0, 1, 1, 3
0, 2, 100, 1247359468440, 14, 0, 0, 0, 0, 0, 0, 0
4, 2, 101, 1247359468449, 9, 0, 200, 178, 0, 1, 5, 6
4, 2, 100, 1247359468449, 9, 0, 0, 0, 0, 0, 0, 0
0, 3, 101, 1247359468454, 5, 0, 200, 178, 0, 0, 1, 3
0, 3, 100, 1247359468454, 5, 0, 0, 0, 0, 0, 0, 0
3, 2, 101, 1247359468453, 8, 0, 200, 178, 0, 1, 1, 4
3, 2, 100, 1247359468453, 8, 0, 0, 0, 0, 0, 0, 0
2, 3, 101, 1247359468456, 5, 0, 200, 178, 0, 1, 3, 4
2, 3, 100, 1247359468455, 6, 0, 0, 0, 0, 0, 0, 0
4, 3, 101, 1247359468459, 3, 0, 200, 178, 0, 0, 1, 2
4, 3, 100, 1247359468459, 3, 0, 0, 0, 0, 0, 0, 0
0, 4, 101, 1247359468460, 3, 0, 200, 178, 0, 0, 2, 3
0, 4, 100, 1247359468460, 3, 0, 0, 0, 0, 0, 0, 0
4, 4, 101, 1247359468463, 3, 0, 200, 178, 0, 1, 1, 2
2, 4, 101, 1247359468462, 4, 0, 200, 178, 0, 0, 2, 3
4, 4, 100, 1247359468463, 3, 0, 0, 0, 0, 0, 0, 0
2, 4, 100, 1247359468462, 4, 0, 0, 0, 0, 0, 0, 0
1, 1, 101, 1247359468438, 29, 0, 200, 178, 0, 6, 13, 16
1, 1, 100, 1247359468438, 29, 0, 0, 0, 0, 0, 0, 0
0, 5, 101, 1247359468464, 4, 0, 200, 178, 0, 0, 1, 2
0, 5, 100, 1247359468464, 4, 0, 0, 0, 0, 0, 0, 0
3, 3, 101, 1247359468461, 9, 0, 200, 178, 0, 0, 2, 4
3, 3, 100, 1247359468461, 9, 0, 0, 0, 0, 0, 0, 0
0, 6, 101, 1247359468468, 3, 0, 200, 178, 0, 0, 1, 2
0, 6, 100, 1247359468468, 3, 0, 0, 0, 0, 0, 0, 0
2, 5, 101, 1247359468466, 6, 0, 200, 178, 0, 0, 1, 3
2, 5, 100, 1247359468466, 6, 0, 0, 0, 0, 0, 0, 0
1, 2, 101, 1247359468468, 5, 0, 200, 178, 0, 0, 1, 4
1, 2, 100, 1247359468468, 5, 0, 0, 0, 0, 0, 0, 0
4, 5, 101, 1247359468469, 5, 0, 200, 178, 0, 1, 2, 4
4, 5, 100, 1247359468468, 6, 0, 0, 0, 0, 0, 0, 0
0, 7, 101, 1247359468471, 3, 0, 200, 178, 0, 1, 2, 3
0, 7, 100, 1247359468471, 3, 0, 0, 0, 0, 0, 0, 0
2, 6, 101, 1247359468473, 3, 0, 200, 178, 0, 0, 1, 3
2, 6, 100, 1247359468473, 3, 0, 0, 0, 0, 0, 0, 0
0, 8, 101, 1247359468475, 2, 0, 200, 178, 0, 0, 1, 2
0, 8, 100, 1247359468474, 3, 0, 0, 0, 0, 0, 0, 0
4, 6, 101, 1247359468475, 3, 0, 200, 178, 0, 1, 1, 3
4, 6, 100, 1247359468475, 4, 0, 0, 0, 0, 0, 0, 0
2, 7, 101, 1247359468477, 3, 0, 200, 178, 0, 0, 1, 2
2, 7, 100, 1247359468477, 3, 0, 0, 0, 0, 0, 0, 0
1, 3, 101, 1247359468473, 8, 0, 200, 178, 0, 2, 3, 7
1, 3, 100, 1247359468473, 8, 0, 0, 0, 0, 0, 0, 0
0, 9, 101, 1247359468479, 4, 0, 200, 178, 0, 0, 1, 3
0, 9, 100, 1247359468479, 4, 0, 0, 0, 0, 0, 0, 0
4, 7, 101, 1247359468480, 4, 0, 200, 178, 0, 0, 1, 4
4, 7, 100, 1247359468480, 4, 0, 0, 0, 0, 0, 0, 0
0, 10, 101, 1247359468483, 3, 0, 200, 178, 0, 0, 2, 3
0, 10, 100, 1247359468483, 3, 0, 0, 0, 0, 0, 0, 0
4, 8, 101, 1247359468485, 3, 0, 200, 178, 0, 0, 2, 3
3, 4, 101, 1247359468471, 17, 0, 200, 178, 0, 1, 1, 2
3, 4, 100, 1247359468471, 18, 0, 0, 0, 0, 0, 0, 0
4, 8, 100, 1247359468485, 4, 0, 0, 0, 0, 0, 0, 0
2, 8, 101, 1247359468487, 3, 0, 200, 178, 0, 1, 1, 2
2, 8, 100, 1247359468487, 3, 0, 0, 0, 0, 0, 0, 0
4, 9, 101, 1247359468489, 38, 0, 200, 178, 0, 32, 33, 37
4, 9, 100, 1247359468489, 38, 0, 0, 0, 0, 0, 0, 0
1, 4, 101, 1247359468489, 40, 0, 200, 178, 0, 1, 2, 8
